ETS_Cap,Tax_Cap,Status,Funding Gap,ETS Price,Carbon Tax [Iron_and_steel],Carbon Tax [Ammonia],Carbon Tax [Cement],Carbon Tax [Refinery],Gap at cap,ETS at cap,Tax at cap [Iron_and_steel],Tax at cap [Ammonia],Tax at cap [Cement],Tax at cap [Refinery]
0,0,infeasible,,,,,,,-9099309952.296238,0.0,0.0,0.0,0.0,0.0
0,10,infeasible,,,,,,,-7193928061.332852,0.0,10.0,10.0,10.0,10.0
0,20,infeasible,,,,,,,-5288546170.369467,0.0,20.0,20.0,20.0,20.0
0,30,infeasible,,,,,,,-3383164279.406081,0.0,30.0,30.0,30.0,30.0
0,40,infeasible,,,,,,,-1477782388.4426951,0.0,40.0,40.0,40.0,40.0
0,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
0,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
0,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
0,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
0,90,optimal,-5.247420631349087e-06,0.0,85.76053842082891,90.0,0.0,90.0,,0.0,85.76053842082891,90.0,0.0,90.0
0,100,optimal,-4.789675585925579e-06,0.0,77.0684993671787,100.0,0.0,100.0,,0.0,77.0684993671787,100.0,0.0,100.0
10,0,infeasible,,,,,,,-7956080817.718207,10.0,0.0,0.0,0.0,0.0
10,10,infeasible,,,,,,,-6050698926.754821,10.0,10.0,10.0,10.0,10.0
10,20,infeasible,,,,,,,-4145317035.7914352,10.0,20.0,20.0,20.0,20.0
10,30,infeasible,,,,,,,-2239935144.8280497,10.0,30.0,30.0,30.0,30.0
10,40,infeasible,,,,,,,-334553253.8646636,10.0,40.0,40.0,40.0,40.0
10,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
10,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
10,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
10,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
10,90,optimal,-5.247420631349087e-06,0.0,85.76053842082891,90.0,0.0,90.0,,0.0,85.76053842082891,90.0,0.0,90.0
10,100,optimal,-4.789675585925579e-06,0.0,77.0684993671787,100.0,0.0,100.0,,0.0,77.0684993671787,100.0,0.0,100.0
20,0,infeasible,,,,,,,-6812851683.140176,20.0,0.0,0.0,0.0,0.0
20,10,infeasible,,,,,,,-4907469792.17679,20.0,10.0,10.0,10.0,10.0
20,20,infeasible,,,,,,,-3002087901.2134037,20.0,20.0,20.0,20.0,20.0
20,30,infeasible,,,,,,,-1096706010.2500181,20.0,30.0,30.0,30.0,30.0
20,40,optimal,-4.095054464414716e-06,12.926388453073704,40.0,40.0,40.0,40.0,,12.926388453073704,40.0,40.0,40.0,40.0
20,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
20,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
20,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
20,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
20,90,optimal,-5.247420631349087e-06,0.0,85.76053842082891,90.0,0.0,90.0,,0.0,85.76053842082891,90.0,0.0,90.0
20,100,optimal,-4.789675585925579e-06,0.0,77.0684993671787,100.0,0.0,100.0,,0.0,77.0684993671787,100.0,0.0,100.0
30,0,infeasible,,,,,,,-5669622548.562144,30.0,0.0,0.0,0.0,0.0
30,10,infeasible,,,,,,,-3764240657.598758,30.0,10.0,10.0,10.0,10.0
30,20,infeasible,,,,,,,-1858858766.6353724,30.0,20.0,20.0,20.0,20.0
30,30,optimal,-5.047302693128586e-06,29.593055119740363,30.0,30.0,30.0,30.0,,29.593055119740363,30.0,30.0,30.0,30.0
30,40,optimal,-4.095054464414716e-06,12.926388453073704,40.0,40.0,40.0,40.0,,12.926388453073704,40.0,40.0,40.0,40.0
30,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
30,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
30,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
30,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
30,90,optimal,-5.247420631349087e-06,0.0,85.76053842082891,90.0,0.0,90.0,,0.0,85.76053842082891,90.0,0.0,90.0
30,100,optimal,-4.789675585925579e-06,0.0,77.0684993671787,100.0,0.0,100.0,,0.0,77.0684993671787,100.0,0.0,100.0
40,0,infeasible,,,,,,,-4526393413.984113,40.0,0.0,0.0,0.0,0.0
40,10,infeasible,,,,,,,-2621011523.0207267,40.0,10.0,10.0,10.0,10.0
40,20,infeasible,,,,,,,-715629632.057341,40.0,20.0,20.0,20.0,20.0
40,30,optimal,-5.047302693128586e-06,29.593055119740363,30.0,30.0,30.0,30.0,,29.593055119740363,30.0,30.0,30.0,30.0
40,40,optimal,-4.095054464414716e-06,12.926388453073704,40.0,40.0,40.0,40.0,,12.926388453073704,40.0,40.0,40.0,40.0
40,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
40,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
40,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
40,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
40,90,optimal,-5.247420631349087e-06,0.0,85.76053842082891,90.0,0.0,90.0,,0.0,85.76053842082891,90.0,0.0,90.0
40,100,optimal,-4.789675585925579e-06,0.0,77.0684993671787,100.0,0.0,100.0,,0.0,77.0684993671787,100.0,0.0,100.0
50,0,infeasible,,,,,,,-3383164279.406081,50.0,0.0,0.0,0.0,0.0
50,10,infeasible,,,,,,,-1477782388.4426954,50.0,10.0,10.0,10.0,10.0
50,20,optimal,-4.554050974547863e-06,46.259721786407034,20.0,20.0,20.0,20.0,,46.259721786407034,20.0,20.0,20.0,20.0
50,30,optimal,-5.047302693128586e-06,29.593055119740363,30.0,30.0,30.0,30.0,,29.593055119740363,30.0,30.0,30.0,30.0
50,40,optimal,-4.095054464414716e-06,12.926388453073704,40.0,40.0,40.0,40.0,,12.926388453073704,40.0,40.0,40.0,40.0
50,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
50,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
50,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
50,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
50,90,optimal,-5.247420631349087e-06,0.0,85.76053842082891,90.0,0.0,90.0,,0.0,85.76053842082891,90.0,0.0,90.0
50,100,optimal,-4.789675585925579e-06,0.0,77.0684993671787,100.0,0.0,100.0,,0.0,77.0684993671787,100.0,0.0,100.0
60,0,infeasible,,,,,,,-2239935144.8280497,60.0,0.0,0.0,0.0,0.0
60,10,infeasible,,,,,,,-334553253.86466384,60.0,10.0,10.0,10.0,10.0
60,20,optimal,-4.554050974547863e-06,46.259721786407034,20.0,20.0,20.0,20.0,,46.259721786407034,20.0,20.0,20.0,20.0
60,30,optimal,-5.047302693128586e-06,29.593055119740363,30.0,30.0,30.0,30.0,,29.593055119740363,30.0,30.0,30.0,30.0
60,40,optimal,-4.095054464414716e-06,12.926388453073704,40.0,40.0,40.0,40.0,,12.926388453073704,40.0,40.0,40.0,40.0
60,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
60,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
60,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
60,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
60,90,optimal,-5.247420631349087e-06,0.0,85.76053842082891,90.0,0.0,90.0,,0.0,85.76053842082891,90.0,0.0,90.0
60,100,optimal,-4.789675585925579e-06,0.0,77.0684993671787,100.0,0.0,100.0,,0.0,77.0684993671787,100.0,0.0,100.0
70,0,infeasible,,,,,,,-1096706010.2500181,70.0,0.0,0.0,0.0,0.0
70,10,optimal,-4.868023097515106e-06,62.9263884530737,10.0,10.0,10.0,10.0,,62.9263884530737,10.0,10.0,10.0,10.0
70,20,optimal,-4.554050974547863e-06,46.259721786407034,20.0,20.0,20.0,20.0,,46.259721786407034,20.0,20.0,20.0,20.0
70,30,optimal,-5.047302693128586e-06,29.593055119740363,30.0,30.0,30.0,30.0,,29.593055119740363,30.0,30.0,30.0,30.0
70,40,optimal,-4.095054464414716e-06,12.926388453073704,40.0,40.0,40.0,40.0,,12.926388453073704,40.0,40.0,40.0,40.0
70,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
70,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
70,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
70,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
70,90,optimal,-5.247420631349087e-06,0.0,85.76053842082891,90.0,0.0,90.0,,0.0,85.76053842082891,90.0,0.0,90.0
70,100,optimal,-4.789675585925579e-06,0.0,77.0684993671787,100.0,0.0,100.0,,0.0,77.0684993671787,100.0,0.0,100.0
80,0,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
80,10,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
80,20,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
80,30,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
80,40,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
80,50,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
80,60,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
80,70,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
80,80,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
80,90,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
80,100,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,0,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,10,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,20,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,30,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,40,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,50,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,60,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,70,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,80,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,90,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
90,100,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,0,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,10,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,20,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,30,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,40,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,50,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,60,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,70,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,80,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,90,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
100,100,optimal,-4.543573595583439e-06,79.59305511974037,0.0,0.0,0.0,0.0,,79.59305511974037,0.0,0.0,0.0,0.0
